tax_id,city,zip,beds,baths,sqft,year_built,property_type,sale_date,sale_price,lat,lng,sale_day,sale_month,sale_year
801263,Dillon,80435,1,1,584,1974,Condominium,2017-12-19,177000,39.64098480000001,-106.0395169,19,12,2017
801196,Dillon,80435,2,2,739,1979,Condominium,2017-05-15,230000,39.63887039999999,-106.04472,15,5,2017
900126,Dillon,80435,2,2,1020,1972,Condominium,2017-09-01,429000,39.62683,-106.0448,1,9,2017
900060,Dillon,80435,4,3,3971,1977,Sfr,2017-04-20,640000,39.6315417,-106.039381,20,4,2017
801311,Dillon,80435,3,2,1492,1976,Sfr,2017-12-19,555000,39.6376125,-106.0423025,19,12,2017
801226,Dillon,80435,3,2,998,1980,Condominium,2017-11-30,325000,39.6390319,-106.044379,30,11,2017
900014,Dillon,80435,1,2,790,1971,Condominium,2017-08-28,345000,39.6281121,-106.0429767,28,8,2017
801323,Dillon,80435,1,1,584,1977,Condominium,2017-04-10,164000,39.642746,-106.0353308,10,4,2017
801218,Dillon,80435,2,2,739,1980,Condominium,2017-08-11,250000,39.6390319,-106.044379,11,8,2017
800941,Dillon,80435,2,2,762,1977,Condominium,2017-11-10,255000,39.6428722,-106.0354398,10,11,2017
801307,Dillon,80435,1,1,584,1975,Condominium,2017-01-30,146500,39.641452,-106.0383585,30,1,2017
801170,Dillon,80435,1,1,609,1980,Condominium,2017-07-30,180000,39.6402524,-106.0419458,30,7,2017
801220,Dillon,80435,2,2,739,1980,Condominium,2017-06-29,245500,39.6390319,-106.044379,29,6,2017
801261,Dillon,80435,1,1,584,1975,Condominium,2017-08-08,161000,39.64145329999999,-106.0384501,8,8,2017
801191,Dillon,80435,1,1,570,1979,Condominium,2017-03-15,159000,39.63887039999999,-106.04472,15,3,2017
801157,Dillon,80435,1,1,570,1980,Condominium,2017-04-14,169000,39.6402524,-106.0419458,14,4,2017
801120,Dillon,80435,2,2,739,1979,Condominium,2017-06-21,243000,39.640197,-106.0423793,21,6,2017
801310,Dillon,80435,1,1,501,1969,Condominium,2017-01-25,158000,39.63366200000001,-106.044335,25,1,2017
801168,Dillon,80435,1,1,570,1980,Condominium,2017-07-07,170000,39.6402524,-106.0419458,7,7,2017
801222,Dillon,80435,3,2,998,1980,Condominium,2017-11-06,300000,39.6390319,-106.044379,6,11,2017
801048,Dillon,80435,2,2,739,1979,Condominium,2017-08-30,162000,39.63856079999999,-106.0454001,30,8,2017
900134,Dillon,80435,2,1,816,1973,Condominium,2017-08-17,290000,39.630756700000006,-106.0425724,17,8,2017
801186,Dillon,80435,2,2,739,1979,Condominium,2017-03-08,228000,39.63887039999999,-106.04472,8,3,2017
